	text_a	text_b	label
3371	HISTORY OF PRESENT ILLNESS:  The patient is a 38 year old male transferred from [**Hospital 1543**] Hospital early on the morning of [**2985-12-2**], with acute renal failure, hyperkalemia, abdominal pain and nausea.	 The patient requires dialysis. 	neutral
3372	He is unable to provide any history or answer any questions.	 patient is confused	entailment
3374	He is unable to provide any history or answer any questions.	 patient is intoxicated	neutral
3376	No fevers, chills, sweats, nausea, vomiting, dysuria, or hematuria.	 the patient is febrile	contradiction
3377	No fevers, chills, sweats, nausea, vomiting, dysuria, or hematuria.	 the patient denies weight loss	neutral
3378	PAST MEDICAL HISTORY:  Osteoporosis, hypertension.	 decreased bone strength	entailment
3380	PAST MEDICAL HISTORY:  Osteoporosis, hypertension.	 history of vitamin deficiency	neutral
3381	According to a report, the patient had a stress echocardiogram performed in [**State 107**] which showed no change from his [** Location **]us findings.	 patient had stable stress echocardiogram	entailment
3382	According to a report, the patient had a stress echocardiogram performed in [**State 107**] which showed no change from his [** Location **]us findings.	 patient has no prior imaging	contradiction
3383	According to a report, the patient had a stress echocardiogram performed in [**State 107**] which showed no change from his [** Location **]us findings.	 patient has coronary artery disease	neutral
3385	Initial CK flat, trop 0.02.	 The patient is having a heart attack. 	contradiction
3387	Maximum of overdose approximately 89 tablets -- 44.5 gm tylenol, 2.2 gm benadryl (toxic benadryl dose 20-40 mg/kg). .	 the patient has a tylenol overdose	entailment
3388	Maximum of overdose approximately 89 tablets -- 44.5 gm tylenol, 2.2 gm benadryl (toxic benadryl dose 20-40 mg/kg). .	 the patient is safe for discharge	contradiction
3389	Maximum of overdose approximately 89 tablets -- 44.5 gm tylenol, 2.2 gm benadryl (toxic benadryl dose 20-40 mg/kg). .	 the patient has liver failure	neutral
3390	The patient says that her Lasix dose was cut in half during her last hospital stay.	 The patient had her lasix dose adjusted.	entailment
3391	The patient says that her Lasix dose was cut in half during her last hospital stay.	 The patient had lasix dose increased.	contradiction
3393	On the day of delivery, she had premature rupture of membranes and was taken to cesarean section.	 She delivered surgically	entailment
3394	On the day of delivery, she had premature rupture of membranes and was taken to cesarean section.	 She delivered vaginally	contradiction
3395	On the day of delivery, she had premature rupture of membranes and was taken to cesarean section.	 She had a multiple gestation pregnancy	neutral
3399	The patient reports developing substernal chest pain with minimal movement since [**Month (only) 10**] when he received a blood transfusion for hemoptysis.	 the patient has chest pain	entailment
3402	Upon arrival to the [**Hospital Unit Name 152**] he was started on leukophoresis by the transfusion service.	 The patient has a hematologic malignancy. 	entailment
3404	Upon arrival to the [**Hospital Unit Name 152**] he was started on leukophoresis by the transfusion service.	 The patient has a has AML. 	neutral
3406	The patient was then brought to [**Hospital1 58**] Emergency Department where he was noted to still be in pulseless electrical activity.	 The patient was alert and oriented 	contradiction
3407	The patient was then brought to [**Hospital1 58**] Emergency Department where he was noted to still be in pulseless electrical activity.	 The patient has a history of cardiac disease 	neutral
3408	88 yoF with a history of CKD [**1-23**] HTN and on coumadin for prior PE.	 She has renal insufficiency	entailment
3410	88 yoF with a history of CKD [**1-23**] HTN and on coumadin for prior PE.	 She is on antihypertensive medication	neutral
3411	This is a 65 year old woman with recurrent large cell lymphoma first diagnosed in [**6-7**], s/p 6 cycles of R-CHOP in [**12-10**], recurrence in fall of [**3090**], s/p ICE x 3 and ESHAP ([**1-11**]).	 Patient has malignancy	entailment
3412	This is a 65 year old woman with recurrent large cell lymphoma first diagnosed in [**6-7**], s/p 6 cycles of R-CHOP in [**12-10**], recurrence in fall of [**3090**], s/p ICE x 3 and ESHAP ([**1-11**]).	 Patient has no PMH	contradiction
3413	This is a 65 year old woman with recurrent large cell lymphoma first diagnosed in [**6-7**], s/p 6 cycles of R-CHOP in [**12-10**], recurrence in fall of [**3090**], s/p ICE x 3 and ESHAP ([**1-11**]).	 Patient has received chemotherapy	neutral
3414	The patient's cardiac enzymes came back negative and ruled out for a myocardial infarction at that time.	 The patient did not have a heart attack 	entailment
3416	The patient's cardiac enzymes came back negative and ruled out for a myocardial infarction at that time.	 The patient has a history of angina	neutral
3417	MATERNAL MEDICAL HISTORY:  Maternal medical history of polycystic ovarian syndrome.	 Family history of hormonal disorders	entailment
3418	MATERNAL MEDICAL HISTORY:  Maternal medical history of polycystic ovarian syndrome.	 No family history of endocrine disorders	contradiction
3420	He then had recurrence in [**2774**] and underwent Il-2 again.	 He was treated with Il-2 more than once	entailment
3422	He then had recurrence in [**2774**] and underwent Il-2 again.	 He has renal cell cancer	neutral
3425	The amniotic fluid was clear.	 the patient has premature rupture of membranes	neutral
3427	The patient was transported by medical flight to [**Hospital1 47**] for further evaluation.	 The patient was discharged to be followed up as outpatient 	contradiction
3428	The patient was transported by medical flight to [**Hospital1 47**] for further evaluation.	 The patient was comatose 	neutral
3429	Her ABG was 7.33/23/78/12 on RA.	 patient has abnormal arterial blood gas	entailment
3430	Her ABG was 7.33/23/78/12 on RA.	 patient has normal labs	contradiction
3431	Her ABG was 7.33/23/78/12 on RA.	 patient has copd exacerbation	neutral
3432	He had a repeat head CT on [**3289-9-12**] that was stable.	 He has no significant changes since the previous head CT	entailment
3433	He had a repeat head CT on [**3289-9-12**] that was stable.	 Repeat head CT shows a mass	contradiction
3434	He had a repeat head CT on [**3289-9-12**] that was stable.	 He has had head trauma	neutral
3435	Her mother had noted increasing LE and full-body edema for the past 2-3 months, so much so that she had to buy her new pants in a larger size.	 the patient has diffuse edema	entailment
3437	Her mother had noted increasing LE and full-body edema for the past 2-3 months, so much so that she had to buy her new pants in a larger size.	 the patient has CHF	neutral
3438	Vertebral body and disc heights are preserved.	 Patient has back pain	entailment
3439	Vertebral body and disc heights are preserved.	 Patient has a spine fracture	contradiction
3440	Vertebral body and disc heights are preserved.	 Patient has cancer	neutral
3441	Has had L sided abd pain x several weeks.	 Patient has left sided abdominal pain.	entailment
3442	Has had L sided abd pain x several weeks.	 Patient denies pain.	contradiction
3444	ROS prior to intubation: raspy voice; coughing up thick sputum; loss of sensation in his fingers and his R great toe.	 Patient has evidence of stroke	entailment
3445	ROS prior to intubation: raspy voice; coughing up thick sputum; loss of sensation in his fingers and his R great toe.	 Patient has no ventilator requirement	contradiction
3446	ROS prior to intubation: raspy voice; coughing up thick sputum; loss of sensation in his fingers and his R great toe.	 Patient has TIA	neutral
3447	HISTORY OF PRESENT ILLNESS:  The patient is an 86 year-old man who was hospitalized at [**Hospital1 69**] in early [**3186-7-5**] and was found to have MSSA bacteremia.	 The patient had presence of staph aureus in the blood	entailment
3449	HISTORY OF PRESENT ILLNESS:  The patient is an 86 year-old man who was hospitalized at [**Hospital1 69**] in early [**3186-7-5**] and was found to have MSSA bacteremia.	 The patient recently had a respiratory tract infection	neutral
3454	He had been experiencing a flare of his ulcerative colitis, that begain back in [**2974-7-15**].	 He has no history of gastrointestinal disease	contradiction
3455	He had been experiencing a flare of his ulcerative colitis, that begain back in [**2974-7-15**].	 He has ankylosing spondylitis	neutral
3457	History of anemia.	 The patient has a normal blood count.	contradiction
3458	History of anemia.	 The patient has iron deficiency. 	neutral
3462	A Head CT was performed and showed hemorrhage into L 3rd and lateral ventricles with likely source in L basal ganglia, SAH in cerebellum and midline, and 4 mm midline shift.	 Intracranial bleed	entailment
3464	A Head CT was performed and showed hemorrhage into L 3rd and lateral ventricles with likely source in L basal ganglia, SAH in cerebellum and midline, and 4 mm midline shift.	 History hypertension	neutral
3465	Patient had pigtail placed on [**11-30**].	 Patient required a medical procedure	entailment
3466	Patient had pigtail placed on [**11-30**].	 Patient required no medical intervention	contradiction
3468	MRI subsequently showed diffuse moderate ventriculomegaly and irregularity of the ventricular walls, possibly associated with hemorrhage as well as possible inferior vermian hypoplasia.	 Head MRI was abnormal 	entailment
3469	MRI subsequently showed diffuse moderate ventriculomegaly and irregularity of the ventricular walls, possibly associated with hemorrhage as well as possible inferior vermian hypoplasia.	 Head MRI was unremarkable 	contradiction
